year,week,firstName,lastName,position,salary,eventId
2025,1,Connor,Shellenberger,A,48,2025-ev-4
2025,1,Asher,Nolting,A,47,2025-ev-4
2025,1,Liam,Entenmann,G,42,2025-ev-1
2025,1,Kyle,Jackson,M,9,2025-ev-4
2025,1,Connor,Kirst,M,17,2025-ev-4
2025,1,Zac,Tucci,FO,16,2025-ev-4
2025,1,Jack,Kielty,D,4,2025-ev-4
2025,2,Aidan,Carroll,A,19,2025-ev-6
2025,2,Rob,Pannell,A,35,2025-ev-6
2025,2,Austin,Kaut,G,5,2025-ev-8
2025,2,Mike,Sisselberger,FO,11,2025-ev-7
2025,2,Connor,Kelly,M,26,2025-ev-6
2025,2,Matt,Brandau,M,19,2025-ev-6
2025,2,Nick,Grill,D,8,2025-ev-5
2025,3,Brennan,O'Neill,A,44,2025-ev-12
2025,3,Matt,Rambo,A,12,2025-ev-11
2025,3,Colin,Kirst,G,36,2025-ev-9
2025,3,Kyle,Jackson,M,9,2025-ev-11
2025,3,Jack,VanOverbeke,M,7,2025-ev-12
2025,3,Zac,Tucci,FO,28,2025-ev-9
2025,3,Marcus,Hudgins,D,15,2025-ev-9
2025,4,Rob,Pannell,A,23,2025-ev-16
2025,4,Aidan,Carroll,A,31,2025-ev-14
2025,4,Brendan,Krebs,G,28,2025-ev-16
2025,4,Beau,Pederson,D,5,2025-ev-15
2025,4,Connor,Kirst,M,20,2025-ev-14
2025,4,Levi,Anderson,M,15,2025-ev-16
2025,4,Trevor,Baptiste,FO,35,2025-ev-13
2025,5,Logan,McNaney,G,41,2025-ev-17
2025,5,Josh,Zawada,A,6,2025-ev-20
2025,5,Coulter,Mackesy,A,30,2025-ev-20
2025,5,BJ,Farrare,D,7,2025-ev-19
2025,5,Jack,VanOverbeke,M,3,2025-ev-17
2025,5,Justin,Anderson,M,6,2025-ev-17
2025,5,Zac,Tucci,FO,21,2025-ev-20
2025,7,Connor,Shellenberger,A,42,2025-ev-23
2025,7,Pat,Kavanagh,A,47,2025-ev-26
2025,7,Liam,Entenmann,G,44,2025-ev-23
2025,7,Connor,Kirst,M,41,2025-ev-23
2025,7,Jack,VanOverbeke,M,4,2025-ev-26
2025,7,Jake,Naso,FO,9,2025-ev-24
2025,7,Matt,Whitcher,D,6,2025-ev-24
2025,8,Connor,Shellenberger,A,45,2025-ev-27
2025,8,Aidan,Carroll,A,33,2025-ev-30
2025,8,Blaze,Riorden,G,44,2025-ev-28
2025,8,Sergio,Perkovic,M,20,2025-ev-28
2025,8,Matt,Brandau,M,29,2025-ev-30
2025,8,Zac,Tucci,FO,17,2025-ev-29
2025,8,JT,Giles-Harris,D,11,2025-ev-29
2025,9,Chris,Kavanagh,A,36,2025-ev-31
2025,9,Connor,Fields,A,29,2025-ev-34
2025,9,Ryan,Ambler,M,5,2025-ev-34
2025,9,Sergio,Perkovic,M,16,2025-ev-33
2025,9,Brendan,Lavelle,D,7,2025-ev-31
2025,9,Alec,Stathakis,FO,19,2025-ev-33
2025,9,Liam,Entenmann,G,41,2025-ev-32
2025,10,Kieran,McArdle,A,30,2025-ev-36
2025,10,CJ,Kirst,A,4,2025-ev-36
2025,10,Romar,Dennis,M,19,2025-ev-37
2025,10,Ross,Scott,M,22,2025-ev-35
2025,10,Colin,Squires,D,7,2025-ev-37
2025,10,Zac,Tucci,FO,11,2025-ev-36
2025,10,Liam,Entenmann,G,45,2025-ev-38
2025,11,Josh,Zawada,A,14,2025-ev-40
2025,11,Owen,Hiltz,A,48,2025-ev-40
2025,11,Ryan,Ambler,M,5,2025-ev-40
2025,11,Brad,Smith,M,16,2025-ev-42
2025,11,Ben,Randall,D,17,2025-ev-41
2025,11,TD,Ierlan,FO,24,2025-ev-39
2025,11,Colin,Kirst,G,36,2025-ev-39
2025,12,Michael,Sowers,A,48,2025_quarterfinal_1
2025,12,Blaze,Riorden,G,46,2025_quarterfinal_2
2025,12,Rob,Pannell,A,28,2025_quarterfinal_1
2025,12,Matt,Brandau,M,21,2025_quarterfinal_1
2025,12,Sergio,Perkovic,M,14,2025_quarterfinal_2
2025,12,Ajax,Zappitello,D,27,2025_quarterfinal_1
2025,12,Alec,Stathakis,FO,14,2025_quarterfinal_1
2025,13,CJ,Kirst,A,6,2025_semifinal_2
2025,13,Logan,Wisnauskas,A,24,2025_semifinal_1
2025,13,Matt,DeLuca,G,32,2025_semifinal_2
2025,13,Justin,Anderson,M,14,2025_semifinal_1
2025,13,Graham,Bundy,M,18,2025_semifinal_1
2025,13,Michael,Rexrode,D,10,2025_semifinal_2
2025,13,TD,Ierlan,FO,34,2025_semifinal_1
2025,14,Logan,Wisnauskas,A,24,2025_championship_game
2025,14,Connor,Shellenberger,A,47,2025_championship_game
2025,14,Jonathan,Donville,M,10,2025_championship_game
2025,14,Bryan,Costabile,M,28,2025_championship_game
